publisher,isbn10,isbn13,title,language,pub_year,book_id,authors,genre_list,img_url,description
Moody Publishers,0802421857,9780802421852,Growing Little Women: Capturing Teachable Moments with Your Daughter,,1997,1939,"Linda Holland,Donna Miller,Christine Yount",,https://d.gr-assets.com/books/1400725792l/1939.jpg,"Teach your children to choose the right path, and when they are older, they will remain upon it. - Proverbs 22:6 NLT. In a time where modesty is of little value and many kids have had at least one sexual encounter before graduating high school, children are growing up faster than ever. They experience pressures that, in days past, we're not faced until adulthood. They encoTeach your children to choose the right path, and when they are older, they will remain upon it. - Proverbs 22:6 NLT. In a time where modesty is of little value and many kids have had at least one sexual encounter before graduating high school, children are growing up faster than ever. They experience pressures that, in days past, we're not faced until adulthood. They encounter situations that many adults will never meet. So how do we teach our girls to follow God when life around them at school, in magazines, and on TV teaches them to follow nothing but their passions and desires? How to we share with them that Jesus is the answer to their every question and the fulfillment of their heart's desires? In this hopeful and insightful workbook, Donna Miller shows us how.Growing Little Women will provide you and your special girl with teachable moments from the Word of God. Filled with engaging stories, fun activities, and lessons on life, you will prepare her to become a godly woman and establish a bond with her that will smooth her passage to womanhood. In just one hour a week you can impact the future of that special young lady and nurture a friendship that will last forever. Time is ticking. Don't let it get away."
Penguin Books,0140247688,9780140247688,Russia Under the Old Regime,,1997,206954,Richard Pipes,"Cultural,Russia,Non Fiction,History",https://d.gr-assets.com/books/1430755066l/206954.jpg,"Newly revised for this edition, Richard Pipes's highly acclaimed study analyses the evolution of the Russian state from the ninth century to the 1880s and its unique role in managing Russian society. The harsh geographical conditions and sheer size of the country prevented the creation of participatory government, and a 'patrimonial' state emerged in which Russia was transNewly revised for this edition, Richard Pipes's highly acclaimed study analyses the evolution of the Russian state from the ninth century to the 1880s and its unique role in managing Russian society. The harsh geographical conditions and sheer size of the country prevented the creation of participatory government, and a 'patrimonial' state emerged in which Russia was transformed into a gigantic royal domain. Richard Pipes traces these developments and goes on to analyse the political behaviour of the principal social groupings - peasantry, nobility, middle-class and clergy - and their failure to stand up to the increasing absolutism of the tsar. In order to strengthen his powers legal and institutional bases were set up that led to the creation of a bureaucratic police state under the Communists."
Modern Library,0375753168,9780375753169,Hope Against Hope,,1999,106459,"Nadezhda Mandelstam,Max Hayward,Clarence Brown,Joseph Brodsky","Autobiography,Biography Memoir,Literature,Russian Literature,European History,Poetry,Memoir,Cultural,Biography,Russia,Non Fiction,History",https://d.gr-assets.com/books/1389415538l/106459.jpg,"The story of the poet Osip Mandelstam, who suffered continuous persecution under Stalin, but whose wife constantly supported both him and his writings until he died in 1938. Since 1917 The Modern Library prides itself as The Modern Library of the World's Best Books. Featuring introductions by leading writers, stunning translations, scholarly endnotes and reading group guidThe story of the poet Osip Mandelstam, who suffered continuous persecution under Stalin, but whose wife constantly supported both him and his writings until he died in 1938. Since 1917 The Modern Library prides itself as The Modern Library of the World's Best Books. Featuring introductions by leading writers, stunning translations, scholarly endnotes and reading group guides. Production values emphasize superior quality and readability. Competitive prices, coupled with exciting cover design make these an ideal gift to be cherished by the avid reader. Of the eighty-one years of her life, Nadezhda Mandelstam spent nineteen as the wife of Russia's greatest poet in this century, Osip Mandelstam, and forty-two as his widow. The rest was childhood and youth."" So writes Joseph Brodsky in his appreciation of Nadezhda Mandelstam that is reprinted here as an Introduction. Hope Against Hope was first published in English in 1970. It is Nadezhda Mandelstam's memoir of her life with Osip, who was first arrested in 1934 and died in Stalin's Great Purge of 1937-38. Hope Against Hope is a vital eyewitness account of Stalin's Soviet Union and one of the greatest testaments to the value of literature and imaginative freedom ever written. But it is also a profound inspiration--a love story that relates the daily struggle to keep both love and art alive in the most desperate circumstances."
Random House Trade Paperbacks,0375757716,9780375757716,Stalin and His Hangmen: The Tyrant and Those Who Killed for Him,,2005,282109,Donald Rayfield,"Cultural,Non Fiction,Politics,Russia,Biography,History",https://d.gr-assets.com/books/1320391646l/282109.jpg,"Stalin did not act alone. The mass executions, the mock trials, the betrayals and purges, the jailings and secret torture that ravaged the Soviet Union during the three decades of Stalin’s dictatorship, were the result of a tight network of trusted henchmen (and women), spies, psychopaths, and thugs. At the top of this pyramid of terror sat five indispensable hangmen who pStalin did not act alone. The mass executions, the mock trials, the betrayals and purges, the jailings and secret torture that ravaged the Soviet Union during the three decades of Stalin’s dictatorship, were the result of a tight network of trusted henchmen (and women), spies, psychopaths, and thugs. At the top of this pyramid of terror sat five indispensable hangmen who presided over the various incarnations of Stalin’s secret police. Now, in his harrowing new book, Donald Rayfield probes the lives, the minds, the twisted careers, and the unpunished crimes of Stalin’s loyal assassins.Founded by Feliks Dzierzynski, the Cheka–the Extraordinary Commission–came to life in the first years of the Russian Revolution. Spreading fear in a time of chaos, the Cheka proved a perfect instrument for Stalin’s ruthless consolidation of power. But brutal as it was, the Cheka under Dzierzynski was amateurish compared to the well-oiled killing machines that succeeded it. Genrikh Iagoda’s OGPU specialized in political assassination, propaganda, and the manipulation of foreign intellectuals. Later, the NKVD recruited a new generation of torturers. Starting in 1938, terror mastermind Lavrenti Beria brought violent repression to a new height of ingenuity and sadism.As Rayfield shows, Stalin and his henchmen worked relentlessly to coerce and suborn leading Soviet intellectuals, artists, writers, lawyers, and scientists. Maxim Gorky, Aleksandr Fadeev, Alexei Tolstoi, Isaak Babel, and Osip Mandelstam were all caught in Stalin’s web–courted, toyed with, betrayed, and then ruthlessly destroyed. In bringing to light the careers, personalities, relationships, and “accomplishments” of Stalin’s key henchmen and their most prominent victims, Rayfield creates a chilling drama of the intersection of political fanaticism, personal vulnerability, and blind lust for power spanning half a century.Though Beria lost his power–and his life–after Stalin’s death in 1953, the fundamental methods of the hangmen maintained their grip into the second half of the twentieth century. Indeed, Rayfield argues, the tradition of terror, far from disappearing, has emerged with renewed vitality under Vladimir Putin. Written with grace, passion, and a dazzling command of the intricacies of Soviet politics and society, Stalin and the Hangmen is a devastating indictment of the individuals and ideology that kept Stalin in power.From the Hardcover edition."
Belknap Press,0674022580,9780674022584,Stalin,,2006,113218,Robert Service,"Biography Memoir,World War II,European History,War,Academic,Cultural,Biography,Military,Read For School,Politics,Russia,Non Fiction,History",https://d.gr-assets.com/books/1323752604l/113218.jpg,"Overthrowing the conventional image of Stalin as an uneducated political administrator inexplicably transformed into a pathological killer, Robert Service reveals a more complex and fascinating story behind this notorious twentieth-century figure. Drawing on unexplored archives and personal testimonies gathered from across Russia and Georgia, this is the first full-scale bOverthrowing the conventional image of Stalin as an uneducated political administrator inexplicably transformed into a pathological killer, Robert Service reveals a more complex and fascinating story behind this notorious twentieth-century figure. Drawing on unexplored archives and personal testimonies gathered from across Russia and Georgia, this is the first full-scale biography of the Soviet dictator in twenty years.Service describes in unprecedented detail the first half of Stalin's life--his childhood in Georgia as the son of a violent, drunkard father and a devoted mother; his education and religious training; and his political activity as a young revolutionary. No mere messenger for Lenin, Stalin was a prominent activist long before the Russian Revolution. Equally compelling is the depiction of Stalin as Soviet leader. Service recasts the image of Stalin as unimpeded despot; his control was not limitless. And his conviction that enemies surrounded him was not entirely unfounded.Stalin was not just a vengeful dictator but also a man fascinated by ideas and a voracious reader of Marxist doctrine and Russian and Georgian literature as well as an internationalist committed to seeing Russia assume a powerful role on the world stage. In examining the multidimensional legacy of Stalin, Service helps explain why later would-be reformers--such as Khrushchev and Gorbachev--found the Stalinist legacy surprisingly hard to dislodge.Rather than diminishing the horrors of Stalinism, this is an account all the more disturbing for presenting a believable human portrait. Service's lifetime engagement with Soviet Russia has resulted in the most comprehensive and compelling portrayal of Stalin to date."
W,0393324842,9780393324846,Khrushchev: The Man and His Era,,2004,334050,William Taubman,"Biography Memoir,Psychology,European History,War,Cultural,Biography,Politics,Russia,Non Fiction,History",https://d.gr-assets.com/books/1388250699l/334050.jpg,"The definitive biography of the mercurial Soviet leader who succeeded and denounced Stalin. Nikita Khrushchev was one of the most complex and important political figures of the twentieth century. Ruler of the Soviet Union during the first decade after Stalin's death, Khrushchev left a contradictory stamp on his country and on the world. His life and career mirror the SovieThe definitive biography of the mercurial Soviet leader who succeeded and denounced Stalin. Nikita Khrushchev was one of the most complex and important political figures of the twentieth century. Ruler of the Soviet Union during the first decade after Stalin's death, Khrushchev left a contradictory stamp on his country and on the world. His life and career mirror the Soviet experience: revolution, civil war, famine, collectivization, industrialization, terror, world war, cold war, Stalinism, post-Stalinism. Complicit in terrible Stalinist crimes, Khrushchev nevertheless retained his humanity: his daring attempt to reform communism prepared the ground for its eventual collapse; and his awkward efforts to ease the cold war triggered its most dangerous crises.This is the first comprehensive biography of Khrushchev and the first of any Soviet leader to reflect the full range of sources that have become available since the USSR collapsed. Combining a page-turning historical narrative with penetrating political and psychological analysis, this book brims with the life and excitement of a man whose story personified his era."
W,0393326411,9780393326413,Black Earth: A Journey Through Russia After the Fall,,2005,185978,Andrew Meier,"Autobiography,Travel,Memoir,Cultural,Politics,Russia,Non Fiction,History",https://d.gr-assets.com/books/1386922257l/185978.jpg,"""A compassionate glimpse into the extremes where the new Russia meets the old,"" writes Robert Legvold (Foreign Affairs) about Andrew Meier's enthralling new work. Journeying across a resurgent and reputedly free land, Meier has produced a virtuosic mix of nuanced history, lyric travelogue, and unflinching reportage. Throughout, Meier captures the country's present limbo—a""A compassionate glimpse into the extremes where the new Russia meets the old,"" writes Robert Legvold (Foreign Affairs) about Andrew Meier's enthralling new work. Journeying across a resurgent and reputedly free land, Meier has produced a virtuosic mix of nuanced history, lyric travelogue, and unflinching reportage. Throughout, Meier captures the country's present limbo—a land rich in potential but on the brink of staggering back into tyranny—in an account that is by turns heartrending and celebratory, comic and terrifying. A 2003 New York Public Library Book to Remember. ""Black Earth is the best investigation of post-Soviet Russia since David Remnick's Resurrection. Andrew Meier is a truly penetrating eyewitness.""—Robert Conquest, author of The Great Terror; ""If President Bush were to read only the chapters regarding Chechnya in Meier's Black Earth, he would gain a priceless education about Putin's Russia.""—Zbigniew Brzezinski ""Even after the fall of Communism, most American reporting on Russia often goes no further than who's in and who's out in the Kremlin and the business oligarchy. Andrew Meier's Russia reaches far beyond . . . this Russia is one where, as Meier says, history has a hard time hiding. Readers could not easily find a livelier or more insightful guide.""—Adam Hochschild, author of King Leopold's Ghost and The Unquiet Ghost: Russians Remember Stalin ""From the pointless war in Chechnya to the wild, exhilarating, and dispiriting East and the rise of Vladimir Putin, the former KGB officer—it's all here in great detail, written in the layers the story deserves, with insight, passion, and genuine affection.""—Michael Specter, staff writer, The New Yorker; co-chief, The New York Times Moscow Bureau, 1995-98. ""[Meier's] knowledge of the country and his abiding love for its people stands out on every page of this book....But it is his linguistic fluency, in particular, which enables Mr. Meier to dig so deeply into Russia's black earth.""—The Economist ""A wonderful travelogue that depicts the Russian people yet again trying to build a new life without really changing their old one.""—William Taubman, The New York Times Book Review."
Oxford University Press,0195081056,9780195081053,"The Soviet Experiment: Russia, the USSR, and the Successor States",,1997,937683,Ronald Grigor Suny,"Cultural,Russia,Non Fiction,History",https://d.gr-assets.com/books/1347467299l/937683.jpg,"The West has always had a difficult time understanding the Soviet Union. For decades Americans have known a Soviet Union clouded by ideological passions and a dearth of information. Today, with the revelations under glasnost and the collapse of the Communist empire, Americans are now able to see the former Soviet Union as a whole, and explore the turbulent tale of a SovietThe West has always had a difficult time understanding the Soviet Union. For decades Americans have known a Soviet Union clouded by ideological passions and a dearth of information. Today, with the revelations under glasnost and the collapse of the Communist empire, Americans are now able to see the former Soviet Union as a whole, and explore the turbulent tale of a Soviet history that has a beginning, a middle, and an end. One of the eminent Soviet historians of our time, Ronald Grigor Suny takes us on a journey that examines the complex themes of Soviet history from the last tsar of the Russian empire to the first president of the Russian republic. He examines the legacies left by former Soviet leaders and explores the successor states and the challenges they now face. Combining gripping detail with insightful analysis, Suny focuses on three revolutions: the tumultuous year of 1917 when Vladimir Lenin led the Bolshevik takeover of the tsarist empire; the 1930s when Joseph Stalin refashioned the economy, the society, and the state; and the 1980s and 1990s when Mikhail Gorbachev's ambitious and catastrophic attempt at sweeping reform and revitalization resulted in the breakup of the Soviet Union led by Boris Yeltsin. He unravels issues, explaining ""deeply contradictory"" policies toward the various Soviet nationalities, including Moscow's ambivalence over its own New Economic Policy of the 1920s and the attempts at reform that followed Stalin's death. He captures familiar as well as little-known events, including the movement of the crowds on the streets of St. Petersburg in the February revolution; Stalin's collapse into a near-catatonic state after Hitler's much-predicted invasion; and Yeltsin's political maneuvering and public grandstanding as he pushed the disintegration of the Soviet Union and faced down his rivals. Students and social scientists alike continue to be fascinated by the Soviet experiment and its meaning. The Soviet Experiment recovers the complexities and contradictions of the 70 years of Soviet Power, exploring its real achievements as well as its grotesque failings. Clearly written and well-argued, this narrative is complete with helpful anecdotes and examples that will not only engage students and offer them an opportunity to learn from new material but also afford them the opportunity to form their own opinions by reading the text and looking into the suggested readings. With insight and detail, Suny has constructed a masterful work, providing the fullest account yet of one of the greatest transformations of modern history."
Princeton University Press,0691121176,9780691121178,"Everything Was Forever, Until It Was No More: The Last Soviet Generation",,2005,818517,Alexei Yurchak,"School,Anthropology,Academic,Cultural,Russia,Non Fiction,History",https://d.gr-assets.com/books/1347489932l/818517.jpg,"Soviet socialism was based on paradoxes that were revealed by the peculiar experience of its collapse. To the people who lived in that system the collapse seemed both completely unexpected and completely unsurprising. At the moment of collapse it suddenly became obvious that Soviet life had always seemed simultaneously eternal and stagnating, vigorous and ailing, bleak andSoviet socialism was based on paradoxes that were revealed by the peculiar experience of its collapse. To the people who lived in that system the collapse seemed both completely unexpected and completely unsurprising. At the moment of collapse it suddenly became obvious that Soviet life had always seemed simultaneously eternal and stagnating, vigorous and ailing, bleak and full of promise. Although these characteristics may appear mutually exclusive, in fact they were mutually constitutive. This book explores the paradoxes of Soviet life during the period of ""late socialism"" (1960s-1980s) through the eyes of the last Soviet generation.Focusing on the major transformation of the 1950s at the level of discourse, ideology, language, and ritual, Alexei Yurchak traces the emergence of multiple unanticipated meanings, communities, relations, ideals, and pursuits that this transformation subsequently enabled. His historical, anthropological, and linguistic analysis draws on rich ethnographic material from Late Socialism and the post-Soviet period. The model of Soviet socialism that emerges provides an alternative to binary accounts that describe that system as a dichotomy of official culture and unofficial culture, the state and the people, public self and private self, truth and lie--and ignore the crucial fact that, for many Soviet citizens, the fundamental values, ideals, and realities of socialism were genuinely important, although they routinely transgressed and reinterpreted the norms and rules of the socialist state."
Weidenfeld ,0297850687,9780297850687,Young Stalin,,2007,826564,Simon Sebag Montefiore,"Biography Memoir,Literature,European History,21st Century,War,Cultural,Biography,World History,Politics,Russia,Non Fiction,History",https://d.gr-assets.com/books/1356455250l/826564.jpg,"Young Stalin tells the story of a charismatic, darkly turbulent boy born into poverty, of doubtful parentage, scarred by his upbringing but possessed of unusual talents. Admired as a romantic poet and trained as a priest — both by the time he was in his early twenties — he found his true mission as a fanatical revolutionary. A mastermind of bank robbery, protection racketsYoung Stalin tells the story of a charismatic, darkly turbulent boy born into poverty, of doubtful parentage, scarred by his upbringing but possessed of unusual talents. Admired as a romantic poet and trained as a priest — both by the time he was in his early twenties — he found his true mission as a fanatical revolutionary. A mastermind of bank robbery, protection rackets, arson, piracy and murder, he was equal parts terrorist, intellectual and brigand. Here is the dramatic story of his friendships and hatreds, his many love affairs — with women from every social stratum and age group — his illegitimate children and his complicated relationship with the Tsarist secret police. Here is Stalin the arch-conspirator and escape artist whose brutal ingenuity so impressed Lenin that Lenin made him, along with Trotsky, top henchman. Montefiore makes clear how the paranoid criminal underworld was Stalin’s natural habitat, and how murderous Caucasian banditry and political gangsterism, combined with pitiless ideology, enabled Stalin to dominate the Kremlin—and create the USSR in his flawed image.Based on ten years of research in newly opened archives in Russia and Georgia, Young Stalin — companion to the prizewinning Stalin: The Court of the Red Tsar — is a brilliant prehistory of the USSR, a chronicle of the Revolution, and an intimate biography. A thrilling work of history, unparalleled in its scope, full of astonishing new evidence and utterly fascinating: this is how Stalin became Stalin."
Vintage,0679751254,9780679751250,Lenin's Tomb: The Last Days of the Soviet Empire,,1994,113206,David Remnick,"Literature,Economics,20th Century,European History,Journalism,Writing,Cultural,Historical,World History,Politics,Russia,Non Fiction,History",https://d.gr-assets.com/books/1442415682l/113206.jpg,"In the tradition of John Reed's classic Ten Days That Shook the World, this bestselling account of the collapse of the Soviet Union combines the global vision of the best historical scholarship with the immediacy of eyewitness journalism. ""A moving illumination . . . Remnick is the witness for us all."" —Wall Street Journal."
University of California Press,0520208234,9780520208230,Magnetic Mountain: Stalinism as a Civilization,,1997,80856,Stephen Kotkin,"Grad School,European History,Academic,Cultural,Russia,Non Fiction,History",https://d.gr-assets.com/books/1389208254l/80856.jpg,"This study is the first of its kind: a street-level inside account of what Stalinism meant to the masses of ordinary people who lived it. Stephen Kotkin was the first American in 45 years to be allowed into Magnitogorsk, a city built in response to Stalin's decision to transform the predominantly agricultural nation into a ""country of metal."" With unique access to previousThis study is the first of its kind: a street-level inside account of what Stalinism meant to the masses of ordinary people who lived it. Stephen Kotkin was the first American in 45 years to be allowed into Magnitogorsk, a city built in response to Stalin's decision to transform the predominantly agricultural nation into a ""country of metal."" With unique access to previously untapped archives and interviews, Kotkin forges a vivid and compelling account of the impact of industrialization on a single urban community.Kotkin argues that Stalinism offered itself as an opportunity for enlightenment. The utopia it proffered, socialism, would be a new civilization based on the repudiation of capitalism. The extent to which the citizenry participated in this scheme and the relationship of the state's ambitions to the dreams of ordinary people form the substance of this fascinating story. Kotkin tells it deftly, with a remarkable understanding of the social and political system, as well as a keen instinct for the details of everyday life.Kotkin depicts a whole range of life: from the blast furnace workers who labored in the enormous iron and steel plant, to the families who struggled with the shortage of housing and services. Thematically organized and closely focused, Magnetic Mountain signals the beginning of a new stage in the writing of Soviet social history."
Free Press,0743284267,9780743284264,Alexander II: The Last Great Tsar,,2006,93655,"Edvard Radzinsky,Эдвард Радзинский,Antonina W. Bouis","Biography Memoir,European History,Cultural,Biography,Russia,Non Fiction,History",https://d.gr-assets.com/books/1441309176l/93655.jpg,"Edvard Radzinsky is justly famous as both a biographer and a dramatist, and he brings both skills to bear in this vivid, page-turning, rich portrait of one of the greatest of all Romanovs. Alexander II was Russia's Lincoln -- he freed the serfs, promised a new, more liberal state for everyone, yet was brought down by a determined group of terrorist anarchists who tried toEdvard Radzinsky is justly famous as both a biographer and a dramatist, and he brings both skills to bear in this vivid, page-turning, rich portrait of one of the greatest of all Romanovs. Alexander II was Russia's Lincoln -- he freed the serfs, promised a new, more liberal state for everyone, yet was brought down by a determined group of terrorist anarchists who tried to kill him six times before finally, fatefully, succeeding. His story proves the timeless lesson that in Russia, it is dangerous to start reforms, but even more dangerous to stop them. It also shows that the traps and dangers encountered in today's war on terrorists were there 150 years ago."
Basic Books,0465003125,9780465003129,The Sword and the Shield: The Mitrokhin Archive & the Secret History of the KGB,,2000,10756,"Vasili Mitrokhin,Christopher M. Andrew","World History,Spy Thriller,Science,European History,War,Cultural,Non Fiction,Historical,Military,Politics,Russia,Espionage,History",https://d.gr-assets.com/books/1440642067l/10756.jpg,"The Sword and the Shield is based on one of the most extraordinary intelligence coups of recent times: a secret archive of top-level KGB documents smuggled out of the Soviet Union which the FBI has described, after close examination, as the ""most complete and extensive intelligence ever received from any source."" Its presence in the West represents a catastrophic hemorrhagThe Sword and the Shield is based on one of the most extraordinary intelligence coups of recent times: a secret archive of top-level KGB documents smuggled out of the Soviet Union which the FBI has described, after close examination, as the ""most complete and extensive intelligence ever received from any source."" Its presence in the West represents a catastrophic hemorrhage of the KGB’s secrets and reveals for the first time the full extent of its worldwide network.Vasili Mitrokhin, a secret dissident who worked in the KGB archive, smuggled out copies of its most highly classified files every day for twelve years. In 1992, a U.S. ally succeeded in exfiltrating the KGB officer and his entire archive out of Moscow. The archive covers the entire period from the Bolshevik Revolution to the 1980s and includes revelations concerning almost every country in the world. But the KGB's main target, of course, was the United States.Though there is top-secret material on almost every country in the world, the United States is at the top of the list. As well as containing many fascinating revelations, this is a major contribution to the secret history of the twentieth century.Among the topics and revelations explored are: The KGB’s covert operations in the United States and throughout the West, some of which remain dangerous today. KGB files on Oswald and the JFK assassination that Boris Yeltsin almost certainly has no intention of showing President Clinton. The KGB’s attempts to discredit civil rights leader in the 1960s, including its infiltration of the inner circle of a key leader. The KGB’s use of radio intercept posts in New York and Washington, D.C., in the 1970s to intercept high-level U.S. government communications. The KGB’s attempts to steal technological secrets from major U.S. aerospace and technology corporations. KGB covert operations against former President Ronald Reagan, which began five years before he became president. KGB spies who successfully posed as U.S. citizens under a series of ingenious disguises, including several who attained access to the upper echelons of New York society."
Riverhead Hardcover,1594488428,9781594488429,The Man Without a Face: The Unlikely Rise of Vladimir Putin,,2012,12382651,Masha Gessen,"Mystery,Biography Memoir,Literature,Russian Literature,Journalism,Writing,Cultural,Non Fiction,Political Science,Politics,Crime,Russia,Biography,History",https://d.gr-assets.com/books/1333597582l/12382651.jpg,"The Man Without a Face is the chilling account of how a low- level, small-minded KGB operative ascended to the Russian presidency and, in an astonishingly short time, destroyed years of progress and made his country once more a threat to her own people and to the world.Handpicked as a successor by the ""family"" surrounding an ailing and increasingly unpopular Boris Yeltsin,The Man Without a Face is the chilling account of how a low- level, small-minded KGB operative ascended to the Russian presidency and, in an astonishingly short time, destroyed years of progress and made his country once more a threat to her own people and to the world.Handpicked as a successor by the ""family"" surrounding an ailing and increasingly unpopular Boris Yeltsin, Vladimir Putin seemed like a perfect choice for the oligarchy to shape according to its own designs. Suddenly the boy who had stood in the shadows, dreaming of ruling the world, was a public figure, and his popularity soared. Russia and an infatuated West were determined to see the progressive leader of their dreams, even as he seized control of media, sent political rivals and critics into exile or to the grave, and smashed the country's fragile electoral system, concentrating power in the hands of his cronies.As a journalist living in Moscow, Masha Gessen experienced this history firsthand, and for The Man Without a Face she has drawn on information and sources no other writer has tapped. Her account of how a ""faceless"" man maneuvered his way into absolute-and absolutely corrupt-power has the makings of a classic of narrative nonfiction."
Free Press,1416551654,9781416551652,Death of a Dissident: The Poisoning of Alexander Litvinenko and the Return of the KGB,,2007,930779,"Marina Litvinenko,Alex Goldfarb","Mystery,Autobiography,Espionage,True Crime,Science,Crime,Spy Thriller,Cultural,Biography,Politics,Russia,Non Fiction,History",https://d.gr-assets.com/books/1347593282l/930779.jpg,"The assassination of former Russian intelligence officer Alexander ""Sasha"" Litvinenko in November 2006 -- poisoned by the rare radioactive element polonium -- caused an international sensation. Within a few short weeks, the fit forty-three-year-old lay gaunt, bald, and dying in a hospital, the victim of a ""tiny nuclear bomb."" Suspicions swirled around Russia's FSB, the sucThe assassination of former Russian intelligence officer Alexander ""Sasha"" Litvinenko in November 2006 -- poisoned by the rare radioactive element polonium -- caused an international sensation. Within a few short weeks, the fit forty-three-year-old lay gaunt, bald, and dying in a hospital, the victim of a ""tiny nuclear bomb."" Suspicions swirled around Russia's FSB, the successor to the KGB, and the Putin regime. Traces of polonium radiation were found in Germany and on certain airplanes, suggesting a travel route from Russia for the carriers of the fatal poison. But what really happened? What did Litvinenko know? And why was he killed?  The full story of Sasha Litvinenko's life and death is one that the Kremlin does not want told. His closest friend, Alex Goldfarb, and his widow, Marina, are the only two people who can tell it all, from firsthand knowledge, with dramatic scenes from Moscow to London to Washington. Death of a Dissident reads like a political thriller, yet its story is more fantastic and frightening than any novel.  Ever since 1998, when Litvinenko denounced the FSB for ordering him to assassinate tycoon Boris Berezovsky, he had devoted his life to exposing the FSB's darkest secrets. After a dramatic escape to London with Goldfarb's assistance, he spent six years, often working with Goldfarb, investigating a widening series of scandals. Oligarchs and journalists have been assassinated. Ukrainian presidential candidate Viktor Yuschenko was poisoned on the campaign trail. The war in Chechnya became unspeakably harsh on both sides. Sasha Litvinenko investigated all of it, and he denounced his former employers in no uncertain terms for their dirty deeds. Death of a Dissident opens a window into the dark heart of the Putin Kremlin. With its strong-arm tactics, tight control over the media, and penetration of all levels of government, the old KGB is back with a vengeance. Sasha Litvinenko dedicated his life to exposing this truth. It took his diabolical murder for the world to listen."
Seven Stories Press,1583226575,9781583226575,"And Their Children After Them: The Legacy of Let Us Now Praise Famous Men: James Agee, Walker Evans, and the Rise and Fall of Cotton in the South",,2008,116581,"Dale Maharidge,Michael S. Williamson","Art,Biography,Society,Photography,Journalism,Writing,Culture,Non Fiction,American History,History",https://d.gr-assets.com/books/1320560334l/116581.jpg,"In And Their Children After Them, the writer/photographer team Dale Maharidge and Michael Williamson return to the land and families captured in James Agee and Walker Evans’s inimitable Let Us Now Praise Famous Men, extending the project of conscience and chronicling the traumatic decline of King Cotton. With this continuation of Agee and Evans’s project, Maharidge and WilIn And Their Children After Them, the writer/photographer team Dale Maharidge and Michael Williamson return to the land and families captured in James Agee and Walker Evans’s inimitable Let Us Now Praise Famous Men, extending the project of conscience and chronicling the traumatic decline of King Cotton. With this continuation of Agee and Evans’s project, Maharidge and Williamson not only uncover some surprising historical secrets relating to the families and to Agee himself, but also effectively lay to rest Agee’s fear that his work, from lack of reverence or resilience, would be but another offense to the humanity of its subjects. Williamson’s ninety-part photo essay includes updates alongside Evans’s classic originals. Maharidge and Williamson’s work in And Their Children After Them was honored with the Pulitzer Prize for nonfiction when it was first published in 1990."
Basic Books,0465014453,9780465014453,Spymaster: My Thirty-two Years in Intelligence and Espionage Against the West,,2009,6164249,Oleg Kalugin,"Biography,Spy Thriller,Cultural,Non Fiction,Russia,Espionage,History",https://d.gr-assets.com/books/1441690424l/6164249.jpg,"Oleg Kalugin oversaw the work of American spies, matched wits with the CIA, and became one of the youngest generals in KGB history. Even so, he grew increasingly disillusioned with the Soviet system. In 1990, he went public, exposing the intelligence agency’s shadowy methods. Revised and updated in the light of the KGB’s enduring presence in Russian politics, Spymaster isOleg Kalugin oversaw the work of American spies, matched wits with the CIA, and became one of the youngest generals in KGB history. Even so, he grew increasingly disillusioned with the Soviet system. In 1990, he went public, exposing the intelligence agency’s shadowy methods. Revised and updated in the light of the KGB’s enduring presence in Russian politics, Spymaster is Kalugin’s impressively illuminating memoir of the final years of the Soviet Union."
Oxford University Press,0195340736,9780195340730,"Petrostate: Putin, Power, and the New Russia",,2008,2481389,Marshall I. Goldman,"Economics,Cultural,Politics,Russia,Non Fiction,History",https://d.gr-assets.com/books/1347400596l/2481389.jpg,"In the aftermath of the financial collapse of August 1998, it looked as if Russia's day as a superpower had come and gone. That it should recover and reassert itself after less than a decade is nothing short of an economic and political miracle. Based on extensive research, including several interviews with Vladimir Putin, this revealing book chronicles Russia's dramatic rIn the aftermath of the financial collapse of August 1998, it looked as if Russia's day as a superpower had come and gone. That it should recover and reassert itself after less than a decade is nothing short of an economic and political miracle. Based on extensive research, including several interviews with Vladimir Putin, this revealing book chronicles Russia's dramatic reemergence on the world stage, illuminating the key reason for its rebirth: the use of its ever-expanding energy wealth to reassert its traditional great power ambitions. In his deft, informative narrative, Marshall Goldman traces how this has come to be, and how Russia is using its oil-based power as a lever in world politics. The book provides an informative overview of oil in Russia, traces Vladimir Putin's determined effort to reign in the upstart oil oligarchs who had risen to power in the post-Soviet era, and describes Putin's efforts to renationalize and refashion Russia's industries into state companies and his vaunted ""national champions"" corporations like Gazprom, largely owned by the state, who do the bidding of the state. Goldman shows how Russia paid off its international debt and has gone on to accumulate the world's third largest holdings of foreign currency reserves--all by becoming the world's largest producer of petroleum and the world's second largest exporter. Today, Vladimir Putin and his cohort have stabilized the Russian economy and recentralized power in Moscow, and fossil fuels (oil and natural gas) have made it all possible. The story of oil and gas in Russia is a tale of discovery, intrigue, corruption, wealth, misguidance, greed, patronage, nepotism, and power. Marshall Goldman tells this story with panache, as only one of the world's leading authorities on Russia could."
